Country Name,2010,2008,2010,2008,Country ID,latitude,longitude
Afghanistan,17791.3299,15288.7756,49924017473,35278625597,1,33.93911,67.709953
Albania,8506.996034,8136.785,28067491386,24251491685,2,41.153332,20.168331
Algeria,167674.633,160415.277,4.71E+11,4.39E+11,3,28.033886,1.659626
American Samoa,56.6374866,54.616323,4.71E+11,4.39E+11,4,-170.132217,-170.132217
Andorra,57.6374866,55.616323,4.71E+11,4.39E+11,5,42.546245,1.601554
Angola,40029.3921,37396.294,1.54E+11,1.43E+11,6,-11.202692,17.873887
Antigua and Barbuda,,491.89739,1814425572,2191116103,7,17.060816,-61.796428
Argentina,364684.2538,411503.63,7.37E+11,6.98E+11,8,-34.38424604,-66.91772461
Armenia,11393.03935,12469.983,21598045116,24134635012,9,40.069099,45.038189
Aruba,177504.4736,4339.66058,3316870714,3775529800,10,12.52111,-69.968338
Australia,782102.6922,892629.27,8.66E+11,7.96E+11,11,-25.274398,133.775136
Austria,94172.35094,94608.82183,3.52E+11,3.44E+11,12,47.516231,14.550072
Azerbaijan,50724.56964,53832.8169,1.35E+11,1.16E+11,13,40.143105,47.576927
"Bahamas, The",4570.357553,4339.66058,11035240656,11126090341,14,25.03428,-77.39628
Bahrain,30921.97084,164700.503,58162953476,53333105096,15,25.930414,50.637772
Bangladesh,177504.4736,164700.503,3.60E+11,3.18E+11,16,23.684994,90.356331
Barbados,164700.503,100860.1753,4550155554,4812536630,17,13.193887,-59.543198
Belarus,164700.503,100860.1753,1.46E+11,1.32E+11,18,53.79416184,26.9934082
Belgium,138029.4109,137213.867,4.34E+11,4.06E+11,19,50.503887,4.469936
Belize,1498.87845,1408.14902,2439104662,2317948279,20,16.8259793,-89.80773926
Benin,33029.82235,37639.925,21748137022,20419698276,21,9.30769,2.315834
Bermuda,594.6515718,73051.1312,4027100513,4260214633,22,32.321384,-64.75737
Bhutan,3220.40038,1908.28623,4588418545,3766726573,23,27.514162,90.433601
Bolivia,102900.5156,120003.253,51922207793,47328355639,24,-16.290154,-63.588653
Bosnia and Herzegovina,25619.33132,24236.6085,34663026118,33896653245,25,43.915886,17.679076
Botswana,81652.2556,73051.1312,26532422521,25961922969,26,-22.328474,24.684866
Brazil,2902242.618,1532859.83,2.80E+12,2.56E+12,27,-14.235004,-51.92528
Brunei Darussalam,14123.59808,13738.0621,31199547022,30367382092,29,4.535277,114.727669
Bulgaria,67945.3135,71720.335,1.10E+11,1.07E+11,30,42.733883,25.48583
Burkina Faso,43405.90919,40706.298,23440650604,20594373475,31,12.238333,-1.561593
Burundi,6040.98237,5724.9553,5752399508,5170900206,32,-3.373056,29.918886
Cabo Verde,43405.90919,369.11656,2804400162,2746244180,33,16.6151378,-25.5871582
Cambodia,126272.1976,120478.859,34739220892,32133608685,34,13.5066394,104.869423
Cameroon,99823.2841,120917.192,54552906080,50632335350,35,7.369722,12.354722
Canada,764137.6753,908926,1.36E+12,1.34E+12,36,56.130366,-106.346771
Cayman Islands,126272.1976,126272.1976,3587234324,3897995484,37,19.5417212,-80.5667132
Central African Republic,511442.6893,603473.098,4206561537,3632110886,38,7.0323598,19.9981227
Chad,109130.4151,119558.378,21749239339,18029572666,39,15.6134137,19.0156172
Chile,114284.9966,111021.043,3.10E+11,2.76E+11,41,-35.675147,-71.542969
China,11183810.6,10022024.8,1.24E+13,1.00E+13,42,35.86166,104.195397
Colombia,166695.8669,167450.086,4.85E+11,4.50E+11,43,4.570868,-74.297333
Comoros,543.6221852,579.093,1553800743,1422946027,44,-12.2045176,44.2832964
"Congo, Dem. Rep.",799228.6731,754085.86,40927874365,36445343420,45,6.611111,20.939444
"Congo, Rep.",35247.16491,31049.211,20847579112,17498762837,46,-0.228021,15.827659
Costa Rica,11684.5675,10806.5413,58247832308,54978842055,47,9.748917,-83.753428
Cote d'Ivoire,32525.25335,29682.239,51791592986,48234544140,48,7.539989,-5.54708
Croatia,31172.6453,32938.0609,84947206694,89539883304,49,45.5643442,17.0118954
Cuba,49782.5314,48557.436,58247832308,54978842055,50,21.521757,-77.781167
Czech Republic,145706.917,144072.577,2.90E+11,2.89E+11,53,49.817492,15.472962
Denmark,63679.08978,65167.02911,2.39E+11,2.27E+11,54,56.26392,9.501785
Djibouti,2629.832574,2518.567,58247832308,54978842055,55,11.825138,42.590275
Dominica,211.3141846,202.798108,710028908.2,700074712.3,56,15.414999,-61.370976
Dominican Republic,31668.70772,30646.076,1.11E+11,99230524887,57,18.735693,-70.162651
Ecuador,50320.69803,47603.308,1.36E+11,1.29E+11,58,-1.831239,-78.183406
"Egypt, Arab Rep.",280255.5766,269736.626,7.88E+11,7.02E+11,59,26.820553,30.802498
El Salvador,11978.85339,11979.6733,37888844028,37178638969,60,13.8000382,-88.9140683
Equatorial Guinea,6099.113908,5766.37061,31107908524,33063039147,61,1.613172,10.5170357
Eritrea,4844.785693,4954.7574,4708725100,4351411598,62,15.179384,39.782334
Estonia,22767.1259,21871.9123,29038702700,30525885461,63,58.595272,25.013607
Eswatini,3378.339014,3255.8421,8275232341,7700785766,64,-26.5624806,31.3991317
Ethiopia,182771.1979,175266.23,90122281098,72196453325,65,9.145,40.489673
Fiji,2163.922287,2123.9629,6804670602,6574958071,67,-16.578193,179.414413
Finland,84371.53873,78384.73416,2.09E+11,2.13E+11,68,61.92411,25.748151
France,532133.0404,544424.0617,2.34E+12,2.26E+12,69,46.227638,2.213749
Gabon,34053.55242,61809.4079,24097481836,22045903326,71,-0.803689,11.609444
"Gambia, The",3481.573204,3350.4432,4366237248,3791601188,72,13.470062,-15.4900464
Georgia,13108.62377,12282.1374,28642799772,27447928259,73,42.315407,43.356892
Germany,948006.7542,992116.3026,3.19E+12,3.10E+12,74,51.165691,10.451526
Ghana,106432.6926,124072.65,73690444263,63902175212,75,7.946527,-1.023194
Greece,107505.9791,117310.663,3.13E+11,3.42E+11,77,39.074208,21.824312
Grenada,682.6576921,643.730012,1153994997,1218471126,79,12.262776,-61.604171
Guam,83.62124564,80.2123132,28642799772,27447928259,80,13.444304,144.793731
Guatemala,30327.54698,32857.908,95942692369,91015862227,81,11.803749,-15.180413
Guinea,100274.0399,135227.869,16854986477,15954575355,82,9.945587,-9.696645
Guinea-Bissau,7536.357813,5808.0868,2038736561,1849541241,83,11.803749,-15.180413
Guyana,5937.294211,5112.8356,4880570765,4439869691,84,4.860416,-58.93018
Haiti,8545.167808,8462.3932,15200264277,14931725591,85,19.1399952,-72.3570972
Honduras,19663.71562,19785.857,31427232363,30461990353,86,15.199999,-86.241905
"Hong Kong SAR, China",55049.40297,51945.7835,3.45E+11,3.25E+11,87,22.396428,114.109497
Hungary,66250.7743,71578.8505,2.16E+11,2.08E+11,88,47.1817585,19.5060937
Iceland,5390.984736,5043.3159,12596521332,13749851532,89,53.41291,-8.24389
